,strain,barcode,batch,sequencing_summary,cross,cross_color,timepoint_filter,diploid_filter,identity_filter,path,ref_name,ref,ref_mt,subg_idx,subg,s_subg,quick_map,ref_chroder
L41.LL2011_001,L41,BC20,batch1,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch1/20190814_1952_MN28889_FAK65623_343b0508/sequencing_summary/MT-110688_20190814_155259_FAK65623_minion_sequencing_run_batch1_sequencing_summary.txt,CC3,deeppink,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch1/2019*/barcoder/barcode20/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s2,LL2011_001,L41.LL2011_001,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_001.chromosomes.fasta
L17.LL2011_001,L17,BC08,batch2,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch2/20190821_2002_MN28889_FAK78078_46d9ab5e/sequencing_summary/MT-110688_20190821_160240_FAK78078_minion_sequencing_run_batch2_sequencing_summary.txt,CC3,deeppink,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch2/2019*/barcoder/barcode08/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s2,LL2011_001,L17.LL2011_001,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_001.chromosomes.fasta
L28.LL2011_001,L28,BC13,batch2,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch2/20190821_2002_MN28889_FAK78078_46d9ab5e/sequencing_summary/MT-110688_20190821_160240_FAK78078_minion_sequencing_run_batch2_sequencing_summary.txt,CC3,deeppink,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch2/2019*/barcoder/barcode13/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s2,LL2011_001,L28.LL2011_001,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_001.chromosomes.fasta
L34.LL2011_001,L34,BC01,batch2,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch2/20190821_2002_MN28889_FAK78078_46d9ab5e/sequencing_summary/MT-110688_20190821_160240_FAK78078_minion_sequencing_run_batch2_sequencing_summary.txt,CC3,deeppink,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch2/2019*/barcoder/barcode01/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s2,LL2011_001,L34.LL2011_001,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_001.chromosomes.fasta
L11.LL2011_001,L11,BC09,batch3,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch3/20190827_1901_MN28889_FAK76872_41765205/sequencing_summary/MT-110688_20190827_150145_FAK76872_minion_sequencing_run_batch3_sequencing_summary.txt,CC3,deeppink,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch3/2019*/barcoder/barcode09/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s2,LL2011_001,L11.LL2011_001,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_001.chromosomes.fasta
L37.LL2011_001,L37,BC15,batch3,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch3/20190827_1901_MN28889_FAK76872_41765205/sequencing_summary/MT-110688_20190827_150145_FAK76872_minion_sequencing_run_batch3_sequencing_summary.txt,CC3,deeppink,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch3/2019*/barcoder/barcode15/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s2,LL2011_001,L37.LL2011_001,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_001.chromosomes.fasta
L54.LL2011_001,L54,BC18,batch3,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch3/20190827_1901_MN28889_FAK76872_41765205/sequencing_summary/MT-110688_20190827_150145_FAK76872_minion_sequencing_run_batch3_sequencing_summary.txt,CC3,deeppink,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch3/2019*/barcoder/barcode18/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s2,LL2011_001,L54.LL2011_001,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_001.chromosomes.fasta
L40.LL2011_001,L40,BC10,batch4,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch4/20190918_2010_MN28889_FAK98912_a3797231/sequencing_summary/MT-110688_20190918_161100_FAK98912_minion_sequencing_run_batch4_sequencing_summary.txt,CC3,deeppink,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch4/2019*/barcoder/barcode10/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s2,LL2011_001,L40.LL2011_001,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_001.chromosomes.fasta
L64.LL2011_001,L64,BC03,batch4,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch4/20190918_2010_MN28889_FAK98912_a3797231/sequencing_summary/MT-110688_20190918_161100_FAK98912_minion_sequencing_run_batch4_sequencing_summary.txt,CC3,deeppink,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch4/2019*/barcoder/barcode03/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s2,LL2011_001,L64.LL2011_001,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_001.chromosomes.fasta
L10.LL2011_001,L10,BC02,batch5,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch5/20190925_2037_MN28889_FAK89373_5a8db4a5/sequencing_summary/MT-110688_20190925_163805_FAK89373_minion_sequencing_run_batch5_sequencing_summary.txt,CC3,deeppink,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch5/2019*/barcoder/barcode02/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s2,LL2011_001,L10.LL2011_001,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_001.chromosomes.fasta
